horizon,mse,rmse,mae,mape,mdape,smape,coverage
187 days,0.035129225306540966,0.18742792029615268,0.15380117865087306,1.4422735867510152,0.5239612403470759,0.8178517382504745,0.615
188 days,0.03541794891713277,0.1881965698867351,0.15442385653257662,1.4602051691208313,0.5239612403470759,0.8244387257799017,0.6116666666666667
189 days,0.03520699060580717,0.18763525949513638,0.15410908457033298,1.4649168974752342,0.535369356501576,0.8247499660551015,0.60875
190 days,0.03478367173967221,0.18650381159556018,0.15289830464619,1.441536580397021,0.5300969384311864,0.8167207634636702,0.61625
191 days,0.03466733131113125,0.186191652098399,0.15231368075751148,1.452158913002959,0.5239612403470759,0.8185521982353214,0.62
192 days,0.03539852252286801,0.18814495083011928,0.15425750434596192,1.5066132676684019,0.5419861871257277,0.8475451305075586,0.615
193 days,0.035654939696592156,0.18882515641882083,0.15455102383854924,1.4535291445743022,0.5431185497183689,0.8729595709859315,0.62
194 days,0.034995896687115835,0.18707190245228125,0.15303347170149606,1.3741364824747677,0.5660217928024611,0.8839827191717933,0.6275
195 days,0.03509492023035445,0.18733638255916668,0.1533713789058473,1.382748927976691,0.5668821383415529,0.9037890491304045,0.625
196 days,0.035154182674956,0.1874944870521691,0.15354257121190654,1.3853488812805028,0.5818299968623843,0.926081260085408,0.625
197 days,0.035265879594539216,0.1877921180309206,0.15395056331464158,1.3874352689967764,0.5988614060477027,0.953716979381849,0.6275
198 days,0.03478692437511965,0.18651253141577284,0.1526225003555217,1.3742431593541897,0.63096752383119,0.9753616526658827,0.635
199 days,0.03397100818888935,0.1843122572942162,0.1504335248573453,1.2702006533875625,0.6490439725221586,0.9779821180913152,0.6475
200 days,0.0327980001958259,0.18110218164292197,0.14731128227095566,1.1927035368449652,0.614212433906631,0.9670135652712061,0.66
201 days,0.0321535894419394,0.17931421985425305,0.14688695289804463,1.1642390881676805,0.63096752383119,0.9633410228442854,0.66
202 days,0.033119887526159394,0.18198870164424877,0.1489816186851471,1.1407815576109754,0.63096752383119,0.9560773720500481,0.65
203 days,0.032665602009486115,0.1807362775136362,0.14783167520408486,1.1324902436605973,0.5707503449111655,0.9185997447424503,0.6475
204 days,0.03381978613700008,0.18390156643432942,0.14867624332774965,1.108360113603488,0.5426605118859391,0.8622648013348693,0.645
205 days,0.03300211021073319,0.18166482931688563,0.145616361706349,1.0702067461593916,0.5117089514798479,0.8035786842191783,0.66125
206 days,0.032331282959069306,0.17980901801375065,0.14405281180602786,1.1115518754017668,0.4966304279669789,0.7823972304685138,0.6625
207 days,0.032162641729607214,0.1793394594884439,0.1437072244972378,1.0907332910933525,0.4773311623590425,0.7601452262495438,0.66375
208 days,0.0314257132411155,0.17727299072649363,0.14206721896980176,1.0767000164328515,0.4673131908449939,0.7511739324791898,0.66625
209 days,0.03084270907176266,0.17562092435630403,0.1399112908890008,1.0282323213882139,0.4326123991700168,0.7356831499170196,0.67625
210 days,0.03048417844584199,0.17459718911208733,0.13953455847718868,1.0077104235223233,0.4264363039396393,0.7276913947525613,0.67
211 days,0.031191687105610617,0.17661168451042705,0.14008932429196136,0.9725892794173806,0.42128588705380277,0.711113867241729,0.6675
212 days,0.03068944393874876,0.17518402877759365,0.13879557775247733,0.9468952175584282,0.4012953133078395,0.6990904458778031,0.67125
213 days,0.030936476571457525,0.17588768169333951,0.1392961283285626,0.9855918745556751,0.4226875466660323,0.7142390180237126,0.671875
214 days,0.03102761103890292,0.17614656124631817,0.13980758711028307,0.980795865079412,0.4302549931522149,0.7164715473803025,0.669375
215 days,0.03147750607870251,0.17741901273173208,0.14103966010934313,0.9738235738798338,0.4302549931522149,0.7176921557373991,0.66
216 days,0.03219001036109684,0.17941574724950105,0.14197207435942102,0.9996711474682436,0.45820388474716645,0.7259805513111638,0.655
217 days,0.03230940027751127,0.17974815792522403,0.14249155827793072,1.0090319004633317,0.4633848823109512,0.7298638198871009,0.6466666666666667
218 days,0.03146429517249076,0.17738177801705213,0.14062941700438847,0.9891291947413091,0.4633848823109512,0.7229897161033385,0.6533333333333333
219 days,0.030708821888567953,0.1752393274598141,0.13892377917963808,0.9744301037800832,0.45820388474716645,0.7180347830270347,0.655
220 days,0.02992690862974307,0.1729939554716958,0.13731931217563204,0.9624688931896458,0.45820388474716645,0.714372987865135,0.6625
221 days,0.02932389372333882,0.1712422077740731,0.1358637246290734,0.9885688972582625,0.45820388474716645,0.7180568660003911,0.6675
222 days,0.02904320138128536,0.17042066007760137,0.13574466634985394,1.0412310809143164,0.4710511470975216,0.7346988668742336,0.6741666666666667
223 days,0.03004034296392217,0.1733215017357113,0.13771149991684378,1.0700139555574488,0.4745902895010303,0.7642751698015385,0.6708333333333333
224 days,0.030385728622648676,0.17431502695593595,0.13874257274615695,1.0711568341820088,0.4878693779788433,0.7927309607068502,0.6725
225 days,0.029811382499596174,0.17265973039361604,0.13687274203583216,1.0651248255007635,0.481986781855375,0.7983570168299228,0.67875
226 days,0.029956567461805975,0.1730796564065401,0.13742221370168894,1.0695331503643488,0.4966304279669789,0.8258176971406228,0.6775
227 days,0.02949261124504124,0.1717341295288774,0.1366129562469572,1.0530754505671172,0.5207152403603836,0.8430251944872107,0.6825
228 days,0.029143322223355982,0.1707141535531134,0.13557133033612512,1.0541850629461242,0.5384639225795662,0.8626946060263407,0.6875
229 days,0.029418373763594984,0.17151785260897764,0.13662143233992852,1.0606628687688175,0.557349297008368,0.8890842475913249,0.685
230 days,0.029258124009686314,0.17105006287542346,0.13645197074293938,1.057682403873522,0.6059873066695516,0.9076600998034466,0.68875
