ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
1879-05-01,-0.19281637267895835,-0.3480257012272325,-0.01972459983326385,-0.19281637267895835,-0.19281637267895835,0.008878985093624212,0.008878985093624212,0.008878985093624212,0.008878985093624212,0.008878985093624212,0.008878985093624212,0.0,0.0,0.0,-0.18393738758533412,-0.05
1879-06-01,-0.19303309349445494,-0.3516878506401787,-0.023047511191078847,-0.19303309349445494,-0.19303309349445494,0.008234250938920017,0.008234250938920017,0.008234250938920017,0.008234250938920017,0.008234250938920017,0.008234250938920017,0.0,0.0,0.0,-0.18479884255553491,-0.12
1879-07-01,-0.19324282331590323,-0.3457012936620305,-0.0036780597485943857,-0.19324282331590323,-0.19324282331590323,0.01835418741532635,0.01835418741532635,0.01835418741532635,0.01835418741532635,0.01835418741532635,0.01835418741532635,0.0,0.0,0.0,-0.17488863590057688,-0.08
1879-08-01,-0.1934595441313998,-0.34154949505212895,0.0012200179121441713,-0.1934595441313998,-0.1934595441313998,0.01824231028511193,0.01824231028511193,0.01824231028511193,0.01824231028511193,0.01824231028511193,0.01824231028511193,0.0,0.0,0.0,-0.17521723384628787,-0.18
1879-09-01,-0.19367626494689638,-0.3505794126898777,-0.007204283248656953,-0.19367626494689638,-0.19367626494689638,0.017011235174200903,0.017011235174200903,0.017011235174200903,0.017011235174200903,0.017011235174200903,0.017011235174200903,0.0,0.0,0.0,-0.1766650297726955,-0.14
1879-10-01,-0.19388599476834467,-0.352922092836716,-0.030647464142612463,-0.19388599476834467,-0.19388599476834467,0.00022054646268857142,0.00022054646268857142,0.00022054646268857142,0.00022054646268857142,0.00022054646268857142,0.00022054646268857142,0.0,0.0,0.0,-0.1936654483056561,-0.08
1879-11-01,-0.19410271558384123,-0.34915160079813523,-0.03149363170998248,-0.19410271558384123,-0.19410271558384123,-0.0030412217835141695,-0.0030412217835141695,-0.0030412217835141695,-0.0030412217835141695,-0.0030412217835141695,-0.0030412217835141695,0.0,0.0,0.0,-0.19714393736735542,-0.24
1879-12-01,-0.19431244540528958,-0.36235266855674725,-0.026240819277160883,-0.19431244540528958,-0.19431244540528958,-0.00265579420448718,-0.00265579420448718,-0.00265579420448718,-0.00265579420448718,-0.00265579420448718,-0.00265579420448718,0.0,0.0,0.0,-0.19696823960977677,-0.31
1880-01-01,-0.19452916622078611,-0.3600692703325643,-0.040543308567730446,-0.19452916622078611,-0.19452916622078611,-0.012778049623390512,-0.012778049623390512,-0.012778049623390512,-0.012778049623390512,-0.012778049623390512,-0.012778049623390512,0.0,0.0,0.0,-0.20730721584417663,-0.16
1880-02-01,-0.1947458870362827,-0.36352034997198385,-0.02902481065651095,-0.1947458870362827,-0.1947458870362827,-0.007214198326781045,-0.007214198326781045,-0.007214198326781045,-0.007214198326781045,-0.007214198326781045,-0.007214198326781045,0.0,0.0,0.0,-0.20196008536306376,-0.18
