,ds,y
637,1903-02-01,-0.03
638,1903-03-01,-0.17
639,1903-04-01,-0.3
640,1903-05-01,-0.33
641,1903-06-01,-0.3
642,1903-07-01,-0.32
643,1903-08-01,-0.4
644,1903-09-01,-0.42
645,1903-10-01,-0.48
646,1903-11-01,-0.47
647,1903-12-01,-0.46
648,1904-01-01,-0.49
649,1904-02-01,-0.54
650,1904-03-01,-0.54
651,1904-04-01,-0.47
652,1904-05-01,-0.46
653,1904-06-01,-0.4
654,1904-07-01,-0.45
655,1904-08-01,-0.42
656,1904-09-01,-0.49
657,1904-10-01,-0.35
658,1904-11-01,-0.26
659,1904-12-01,-0.34
660,1905-01-01,-0.27
661,1905-02-01,-0.45
662,1905-03-01,-0.36
663,1905-04-01,-0.42
664,1905-05-01,-0.24
665,1905-06-01,-0.2
666,1905-07-01,-0.18
667,1905-08-01,-0.22
668,1905-09-01,-0.21
669,1905-10-01,-0.23
670,1905-11-01,-0.09
671,1905-12-01,-0.09
672,1906-01-01,-0.21
673,1906-02-01,-0.21
674,1906-03-01,-0.2
675,1906-04-01,-0.1
676,1906-05-01,-0.21
677,1906-06-01,-0.16
678,1906-07-01,-0.21
679,1906-08-01,-0.21
680,1906-09-01,-0.26
681,1906-10-01,-0.21
682,1906-11-01,-0.35
683,1906-12-01,-0.19
684,1907-01-01,-0.36
685,1907-02-01,-0.4
686,1907-03-01,-0.25
687,1907-04-01,-0.3
688,1907-05-01,-0.39
689,1907-06-01,-0.32
690,1907-07-01,-0.34
691,1907-08-01,-0.3
692,1907-09-01,-0.32
693,1907-10-01,-0.26
694,1907-11-01,-0.38
695,1907-12-01,-0.42
696,1908-01-01,-0.37
697,1908-02-01,-0.32
698,1908-03-01,-0.51
699,1908-04-01,-0.41
700,1908-05-01,-0.34
701,1908-06-01,-0.31
702,1908-07-01,-0.35
703,1908-08-01,-0.42
704,1908-09-01,-0.36
705,1908-10-01,-0.44
706,1908-11-01,-0.54
707,1908-12-01,-0.44
708,1909-01-01,-0.5
709,1909-02-01,-0.38
710,1909-03-01,-0.52
711,1909-04-01,-0.59
712,1909-05-01,-0.48
713,1909-06-01,-0.46
714,1909-07-01,-0.4
715,1909-08-01,-0.33
