,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
1711,1992-08-01,0.3879357392407984,0.2260457739457965,0.5718577629426468,0.3879357392407984,0.3879357392407984,0.0031672523051805017,0.0031672523051805017,0.0031672523051805017,0.0031672523051805017,0.0031672523051805017,0.0031672523051805017,0.0,0.0,0.0,0.3911029915459789,0.11
1712,1992-09-01,0.3894970855725159,0.2137531510452042,0.5652671740370192,0.3894970855725159,0.3894970855725159,0.006794678496824504,0.006794678496824504,0.006794678496824504,0.006794678496824504,0.006794678496824504,0.006794678496824504,0.0,0.0,0.0,0.3962917640693404,0.06
1713,1992-10-01,0.39100806589353315,0.20485252821483518,0.5688542495504306,0.39100806589353315,0.39100806589353315,-0.0005433170072990884,-0.0005433170072990884,-0.0005433170072990884,-0.0005433170072990884,-0.0005433170072990884,-0.0005433170072990884,0.0,0.0,0.0,0.39046474888623406,0.02
1714,1992-11-01,0.392569412225251,0.22418057888957024,0.5673843020225523,0.392569412225251,0.392569412225251,-0.0025466643171612314,-0.0025466643171612314,-0.0025466643171612314,-0.0025466643171612314,-0.0025466643171612314,-0.0025466643171612314,0.0,0.0,0.0,0.3900227479080898,0.05
1715,1992-12-01,0.39408039254626825,0.21540379365030518,0.5788592080738253,0.39408039254626825,0.39408039254626825,-0.004142571235515572,-0.004142571235515572,-0.004142571235515572,-0.004142571235515572,-0.004142571235515572,-0.004142571235515572,0.0,0.0,0.0,0.38993782131075266,0.22
1716,1993-01-01,0.3956417388779858,0.20872078789329193,0.5692967801279691,0.3956417388779858,0.3956417388779858,-0.005054163638245269,-0.005054163638245269,-0.005054163638245269,-0.005054163638245269,-0.005054163638245269,-0.005054163638245269,0.0,0.0,0.0,0.3905875752397405,0.34
1717,1993-02-01,0.39720308520970393,0.20705077041101042,0.578000242386735,0.39720308520970393,0.39720308520970393,0.0004106443331053839,0.0004106443331053839,0.0004106443331053839,0.0004106443331053839,0.0004106443331053839,0.0004106443331053839,0.0,0.0,0.0,0.3976137295428093,0.39
1718,1993-03-01,0.39861333350932004,0.2361580229932224,0.6069956071364779,0.39861333350932004,0.39861333350932004,0.013944384585143504,0.013944384585143504,0.013944384585143504,0.013944384585143504,0.013944384585143504,0.013944384585143504,0.0,0.0,0.0,0.41255771809446357,0.38
1719,1993-04-01,0.4001746798410376,0.2301602481103846,0.5977722197507589,0.4001746798410376,0.4001746798410376,0.00407833912804797,0.00407833912804797,0.00407833912804797,0.00407833912804797,0.00407833912804797,0.00407833912804797,0.0,0.0,0.0,0.40425301896908555,0.36
1720,1993-05-01,0.40168566016205487,0.232306806222166,0.5911488214126001,0.40168566016205487,0.40168566016205487,0.0038097249171597214,0.0038097249171597214,0.0038097249171597214,0.0038097249171597214,0.0038097249171597214,0.0038097249171597214,0.0,0.0,0.0,0.40549538507921457,0.31
1721,1993-06-01,0.403247006493773,0.21661878875439444,0.581229171227805,0.403247006493773,0.403247006493773,-0.0002549721702619391,-0.0002549721702619391,-0.0002549721702619391,-0.0002549721702619391,-0.0002549721702619391,-0.0002549721702619391,0.0,0.0,0.0,0.40299203432351105,0.32
1722,1993-07-01,0.40475798681479025,0.2253859495729216,0.594419808813457,0.40475798681479025,0.40475798681479025,0.003788258376501345,0.003788258376501345,0.003788258376501345,0.003788258376501345,0.003788258376501345,0.003788258376501345,0.0,0.0,0.0,0.40854624519129157,0.31
